County,Votes_Fetterman,Votes_Mastriano,Votes_Oz,Votes_Shapiro,ElecDay_Fetterman,ElecDay_Mastriano,ElecDay_Oz,ElecDay_Shapiro,MailIn_Fetterman,MailIn_Mastriano,MailIn_Oz,MailIn_Shapiro,Provisional_Fetterman,Provisional_Mastriano,Provisional_Oz,Provisional_Shapiro,FettermanPercent,OzPercent,ShapiroPercent,MastrianoPercent,Democratic,Republican,Libertarian,Green,Other,Total,DemPercent,GOPPercent,LibPercent,GreenPercent,OtherPercent
Adams,16096,26819,29039,18821,9242,24272,25991,11318,6780,2513,3012,7425,74,34,36,78,35.66190317935084,64.33809682064916,41.23794916739702,58.762050832602974,19559,41276,442,91,11102,72470,26.989098937491374,56.95598178556644,0.6099075479508762,0.1255692010487098,15.319442527942599
Allegheny,363873,169913,200632,393386,224055,151680,175810,246843,134156,17132,23502,140701,5662,1101,1320,5842,64.45877361582271,35.541226384177286,69.8360906019716,30.163909398028398,534256,264235,4927,1172,134898,939488,56.86671889369529,28.125425763820296,0.5244345856466501,0.12474879934602677,14.358671957491739
Armstrong,8065,18419,19575,9523,5513,17437,18425,6715,2514,951,1112,2764,38,31,38,44,29.178726483357455,70.82127351664255,34.08131128766731,65.91868871233268,12152,25843,231,30,4675,42931,28.30588618946682,60.196594535417304,0.5380727213435512,0.0698795742004612,10.889566979571871
Beaver,32692,34777,38772,36917,21391,32201,35505,24966,11105,2512,3187,11752,196,64,80,199,45.74610992947498,54.253890070525024,51.49245404078444,48.507545959215555,50277,47935,629,96,14897,113834,44.16694484951772,42.10956304794701,0.5525589894056258,0.08433332747685225,13.086599785652792
Bedford,3796,17198,17954,4721,2281,16066,16702,3021,1500,1113,1232,1684,15,19,20,16,17.45287356321839,82.54712643678161,21.538391349970347,78.46160865002966,6178,23718,121,16,2948,32981,18.731997210515143,71.91413237924866,0.3668778993966223,0.048512780085503776,8.93847973075407
Berks,70322,71823,77621,77785,48891,67211,71952,54658,21431,4612,5669,23127,0,0,0,0,47.53317155931676,52.46682844068323,51.9925405058553,48.0074594941447,112740,110718,1614,400,41865,267337,42.171491413459414,41.41514268507539,0.603732367760542,0.14962388296419876,15.66000965074045
Blair,14763,31823,34214,17716,9251,29041,31007,11616,5430,2726,3140,6004,82,56,67,96,30.142720052269432,69.85727994773056,35.76172308686086,64.23827691313915,20561,47870,378,75,9368,78252,26.27536676378878,61.174155293155444,0.4830547462045699,0.09584419567550989,11.971579001175689
Bradford,6632,15529,16033,7389,4430,14385,14808,5029,2163,1082,1167,2327,39,62,58,33,29.26097507169645,70.73902492830355,32.2410332489746,67.7589667510254,8643,24019,226,50,4722,37660,22.950079660116835,63.77854487519915,0.6001062134891131,0.1327668613913967,12.538502389803504
Bucks,164521,122981,141339,185324,95176,109290,123710,110935,67707,12903,16693,72618,1638,788,936,1771,53.789642320015695,46.210357679984305,60.11060475827509,39.88939524172492,204177,196510,2702,567,77882,481838,42.37461553468178,40.783416833043475,0.5607693872214312,0.1176744050905076,16.16352383996281
Butler,33921,51546,57168,40065,21361,47283,51869,26273,12390,4156,5176,13606,170,107,123,186,37.23940322102559,62.76059677897441,43.73383109015293,56.26616890984707,40371,77648,812,105,18408,137344,29.394076188257223,56.5354147250699,0.5912162162162162,0.07645037278657968,13.402842497670084
Cambria,18849,32381,35847,22885,12367,29946,32900,15719,6401,2402,2903,7078,81,33,44,88,34.46138657305836,65.53861342694164,41.40882278435205,58.59117721564796,34264,42613,358,59,8951,86245,39.72867992347383,49.40924111542698,0.415096527334918,0.06840976288480492,10.378572670879471
Cameron,547,1200,1247,639,332,1026,975,392,213,174,272,245,2,0,0,2,30.49052396878484,69.50947603121517,34.74714518760196,65.25285481239804,818,1810,16,2,356,3002,27.24850099933378,60.29313790806129,0.5329780146568954,0.06662225183211193,11.858760826115923
